date,county,state,cases,deaths
5/3/2020,Autauga,Alabama,48,3
5/3/2020,Baldwin,Alabama,187,4
5/3/2020,Barbour,Alabama,45,1
5/3/2020,Bibb,Alabama,43,0
5/3/2020,Blount,Alabama,40,0
5/3/2020,Bullock,Alabama,14,0
5/3/2020,Butler,Alabama,105,1
5/3/2020,Calhoun,Alabama,105,3
5/3/2020,Chambers,Alabama,300,21
5/3/2020,Cherokee,Alabama,16,0
5/3/2020,Chilton,Alabama,57,1
5/3/2020,Choctaw,Alabama,49,0
5/3/2020,Clarke,Alabama,42,1
5/3/2020,Clay,Alabama,22,1
5/3/2020,Cleburne,Alabama,12,1
5/3/2020,Coffee,Alabama,130,0
5/3/2020,Colbert,Alabama,41,2
5/3/2020,Conecuh,Alabama,9,0
5/3/2020,Coosa,Alabama,30,1
5/3/2020,Covington,Alabama,45,1
5/3/2020,Crenshaw,Alabama,23,0
5/3/2020,Cullman,Alabama,58,0
5/3/2020,Dale,Alabama,34,0
5/3/2020,Dallas,Alabama,59,3
5/3/2020,DeKalb,Alabama,79,2
5/3/2020,Elmore,Alabama,103,2
5/3/2020,Escambia,Alabama,31,2
5/3/2020,Etowah,Alabama,143,10
5/3/2020,Fayette,Alabama,6,0
5/3/2020,Franklin,Alabama,132,0
5/3/2020,Geneva,Alabama,10,0
5/3/2020,Greene,Alabama,58,1
5/3/2020,Hale,Alabama,52,2
5/3/2020,Henry,Alabama,27,1
5/3/2020,Houston,Alabama,95,4
5/3/2020,Jackson,Alabama,50,2
5/3/2020,Jefferson,Alabama,969,48
5/3/2020,Lamar,Alabama,11,0
5/3/2020,Lauderdale,Alabama,61,2
5/3/2020,Lawrence,Alabama,14,0
5/3/2020,Lee,Alabama,400,28
5/3/2020,Limestone,Alabama,45,0
5/3/2020,Lowndes,Alabama,71,1
5/3/2020,Macon,Alabama,40,2
5/3/2020,Madison,Alabama,234,4
5/3/2020,Marengo,Alabama,58,3
5/3/2020,Marion,Alabama,83,6
5/3/2020,Marshall,Alabama,342,7
5/3/2020,Mobile,Alabama,1198,62
5/3/2020,Monroe,Alabama,13,1
5/3/2020,Montgomery,Alabama,409,7
